num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;sequence;hour;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;last;Median_aof;Var
4618557343052671827;10315.865626287321;73.58936270512953;52.69679574785836;613.1598640177367;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[50];[8];0;2;0.25950322220201505;612.9743365236108
1911754275902096951;7472.822422089043;62.50987209355981;44.296213337619584;617.7183659615666;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[75];[8];0;2;89.9603160764425;613.5750838763105
5989733772615708656;8042.989878114173;64.26050924644066;45.22703085630671;691.6624050080642;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[100];[8];0;2;24672.99276772443;612.9554233999891
7916763620144278900;11471.059787232678;73.41841901684451;46.314736458384246;739.6176163889652;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[125];[8];0;2;37622.41494294802;613.9398942244925
6094790645997358087;12162.259938408892;68.9593121280408;38.682235795972666;902.9894691059419;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[150];[8];0;2;36897.48658850787;997.9862864399809
151782523799718887;13320.681111363001;73.3127036689078;40.73701338457805;1233.8630017821781;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[175];[8];0;2;477099.180963609;1082.9836570567004
4969943045724429006;20908.42712307689;93.27202141278403;48.91435674706762;926.9938427770587;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0;0.01;[200];[8];0;2;42958.752670281174;1032.627698042362
1280174869997433563;9582.720263958792;70.78177951313032;50.460648378673234;614.9724828947694;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[50];[8];0;2;15.637329528868554;613.2813871863107
188950424857652977;8855.009741357935;68.17922340602078;48.4806312973481;615.6665328538319;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[75];[8];0;2;22.32624084622772;613.6070689183055
6674537346146830745;7801.510300218203;61.64377369799017;42.95878356588779;710.9362025849234;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[100];[8];0;2;23191.661175157857;615.3426939749197
2057066731158115001;8246.818014010601;52.11780395253051;30.455374069415548;932.9186314553433;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[125];[8];0;2;40199.97437770003;999.9655489478678
4878106093119472936;1441.9111664642408;29.162641086839432;20.468810065945426;1064.9056446988577;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[150];[8];0;2;1188.9771586576107;1067.1516544014464
156362126514262015;8826.923305075576;70.05310000243243;49.22339323920175;613.3997837311997;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[50];[8];0;2;0.6636891430563543;612.9672490559294
