;IM;RNN;0;2;0;0;0;0;0.7;25;0;0.05;[75];[8];0;1;[0];0
Train_MAE;Train_MSE;Train_MAPE;Val_MAE;Val_MSE;Val_MAPE;Trans_MAE;Trans_MSE;Trans_MAPE;Test_MSE;Test_MAE;Test_MAPE;Pred_MSE;Pred_MAE;Pred_MAPE;AOF
2.733827590942383;12.362540245056152;1.082431435585022;2.7972874641418457;15.083733558654785;1.1000251770019531;0;0;0;12.267117959588369;3.5024445690957577;1.2390527651109895;60357.66887132132;175.58848942862474;127.7835291444908;-210.88018798828125
2.757633686065674;12.386366844177246;1.0960239171981812;2.7751762866973877;14.48289680480957;1.0913413763046265;0;0;0;0.09380595411679374;0.30627757690825774;0.10835120187430868;50708.992197414766;161.13966251453888;117.1118482336989;-143.0569610595703
2.7687971591949463;12.758758544921875;1.0967031717300415;2.7736093997955322;14.348954200744629;1.093278408050537;0;0;0;1.1719875308411845;1.0825837292520077;0.38298346675624245;74615.34547459973;194.75262373315755;141.97460301476346;-244.48153686523438
2.701915740966797;11.96091365814209;1.0683331489562988;2.769076347351074;13.702446937561035;1.0896272659301758;0;0;0;0.15669458512495113;0.39584666870513274;0.140037879184965;62719.39783788196;178.86843161659357;130.23216709842364;-183.21054077148438
2.7191333770751953;12.373477935791016;1.0745168924331665;2.674286365509033;11.497124671936035;1.0566082000732422;0;0;0;0.07115946416509362;0.26675731323638274;0.09437019774575674;78400.04844181745;199.61576120513016;145.52007509098922;-244.08331298828125
2.839017868041992;13.20661735534668;1.1284520626068115;2.726322889328003;12.039019584655762;1.0802199840545654;0;0;0;5.910931504903642;2.4312407336386173;0.8600951404758802;37569.95885037097;139.04975583239542;100.82831137663413;-41.942420959472656
2.924671173095703;13.775908470153809;1.168421983718872;2.6856939792633057;13.05100154876709;1.067382574081421;0;0;0;2.6239000663530447;1.6198456921426327;0.5730495499092594;60061.14023230126;175.2081567509773;127.45293172584927;14.439249992370605
2.739241123199463;12.423099517822266;1.084463119506836;2.7590441703796387;12.5033540725708;1.0932447910308838;0;0;0;0.08798799034824424;0.29662769652924226;0.10493738311694392;48107.27891467204;157.06987031703494;114.09618744893098;-80.44950866699219
2.686640501022339;11.663649559020996;1.0662678480148315;2.82222056388855;13.653656005859375;1.1084835529327393;0;0;0;0.16089716136363275;0.40111988402924226;0.14190337395567895;75404.30041602017;195.8583345779502;142.72263061559173;-188.3123321533203
2.827711820602417;13.094324111938477;1.121851921081543;2.764141082763672;12.968173027038574;1.091500997543335;0;0;0;6.182450302296477;2.4864533581582577;0.8796275995142705;56121.86960589573;169.4269709188761;123.20684041796761;38.56920623779297
