;IS_fs2;RNN;0;2;0;0;0.01;0;0.7;20;0;0.05;[75];[8];0;1;[0];0
Train_MAE;Train_MSE;Train_MAPE;Val_MAE;Val_MSE;Val_MAPE;Trans_MAE;Trans_MSE;Trans_MAPE;Test_MSE;Test_MAE;Test_MAPE;Pred_MSE;Pred_MAE;Pred_MAPE;AOF
2.105619192123413;28.967531204223633;1.1528865098953247;2.248973846435547;41.522396087646484;1.1862740516662598;0;0;0;4326.7647848992665;65.77814823251919;24.665824592384354;2048.1276311300026;44.88284112160812;19.085894607371124;189.26834106445312
2.12388014793396;28.67225456237793;1.1526750326156616;2.1681928634643555;29.860429763793945;1.178389310836792;0;0;0;3492.2287732721406;59.09508247961196;22.495475482484153;1736.9123640518078;41.53305346507143;17.703679438943837;194.17510986328125
2.156334161758423;26.734189987182617;1.1735422611236572;1.9230068922042847;15.578404426574707;1.0892486572265625;0;0;0;2422.172113143691;49.21556779255616;19.042516543720332;1983.2175810600756;44.205799098370896;18.807514334020112;190.84996032714844
2.137240409851074;26.790395736694336;1.169500708580017;2.0355889797210693;22.278331756591797;1.1277025938034058;0;0;0;3314.691152710332;57.573354537583896;21.779433923069742;1576.471667787054;39.547621386911;16.856506119402823;196.0981903076172
2.100053071975708;28.339374542236328;1.1467292308807373;2.2293787002563477;34.9693603515625;1.2041435241699219;0;0;0;3457.654625571917;58.801825019058015;22.489593137412562;2809.2074293489945;52.8344233001679;22.499962677169677;182.84361267089844
2.1658337116241455;27.67021942138672;1.183098554611206;2.119921922683716;28.105016708374023;1.165007472038269;0;0;0;4250.170779088279;65.19333385468394;24.099980006924508;2347.568670852541;48.28128519225257;20.575300392571386;186.87741088867188
2.1031928062438965;28.383651733398438;1.143214225769043;2.0480945110321045;24.951435089111328;1.121936559677124;0;0;0;3498.2479092938584;59.14598810818751;22.34725944018807;2117.912499197926;45.702775880882015;19.436139447419283;189.36151123046875
2.0756983757019043;28.424110412597656;1.1297353506088257;2.2716619968414307;35.224891662597656;1.224368929862976;0;0;0;3827.5382623342766;61.867101615755985;23.418614189923318;1757.8035325475155;41.729031152196164;17.765852049083005;193.77427673339844
2.1373109817504883;27.964035034179688;1.1743507385253906;2.152688503265381;35.86951446533203;1.1430305242538452;0;0;0;3167.250760583432;56.278332958461306;21.7332232643871;2008.4115694561174;44.63909611228722;19.010317607554306;191.36561584472656
2.083876132965088;28.627017974853516;1.1411198377609253;2.3478028774261475;41.59766387939453;1.2390167713165283;0;0;0;3639.4791458821096;60.32809582509719;23.101374314252087;2031.3765012145889;44.90965519098389;19.142630272773562;190.80230712890625
