;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.01;[9999];[16];0;1;[0];100
Train_MAE;Train_MSE;Train_MAPE;Val_MAE;Val_MSE;Val_MAPE;Trans_MAE;Trans_MSE;Trans_MAPE;Test_MSE;Test_MAE;Test_MAPE;Pred_MSE;Pred_MAE;Pred_MAPE;AOF
2.4004783630371094;8.947874069213867;0.9234908223152161;2.6140148639678955;10.741677284240723;1.349616527557373;0;0;0;22.442099035938753;4.737309261167013;1.6285706642193833;2326.6655440482295;35.305731616779084;25.688518603974188;185.04635620117188
2.3958942890167236;8.997005462646484;0.9214473366737366;3.141082286834717;14.686326026916504;1.6219674348831177;0;0;0;31.49561745140708;5.612095638120138;1.9293007522131878;3195.8353959443357;41.54042386699037;30.159585244099024;200.12045288085938
2.387946844100952;8.897607803344727;0.9187548160552979;2.7904412746429443;11.437695503234863;1.4420849084854126;0;0;0;76.70791268996803;8.758305354917013;3.010890440743494;4060.0933347737805;46.84711891478582;34.00716799930299;210.147705078125
2.391153573989868;8.970198631286621;0.9194946885108948;4.551009178161621;26.261119842529297;2.3485186100006104;0;0;0;39.10338512418246;6.253269954526388;2.149720746936712;4391.960548959765;49.05402534957286;35.47501428541486;216.47280883789062
2.397454261779785;8.968185424804688;0.921460747718811;2.2469937801361084;7.711982250213623;1.1608227491378784;0;0;0;20.22587842874546;4.497319026792013;1.5460679113157283;5348.655106300636;54.30561219342788;39.19911895502899;233.77847290039062
2.403367757797241;9.006428718566895;0.924207866191864;2.7731051445007324;11.105616569519043;1.4343076944351196;0;0;0;15.236898142049174;3.903446956479513;1.3419092679402032;6131.624418001502;58.19574500223371;41.97888064400515;253.49969482421875
2.393486499786377;8.982154846191406;0.9198366403579712;2.7655458450317383;11.088617324829102;1.4300540685653687;0;0;0;34.642014936587984;5.885746761167013;2.0233752925599675;5975.546447107818;57.44117092232148;41.437536373552575;259.847900390625
2.3930892944335938;8.99456787109375;0.920458972454071;2.81310772895813;11.941240310668945;1.4529973268508911;0;0;0;16.22617206460128;4.028172298276388;1.3847867795268307;5483.9353724417015;55.19958825262836;39.74988959227632;261.3409423828125
2.3935906887054443;8.952672004699707;0.9201984405517578;2.2140214443206787;7.742339611053467;1.142690896987915;0;0;0;17.729977083324282;4.210697933042013;1.4475346133412714;5984.329178311433;57.6030497288079;41.504120379193;263.4804382324219
2.3900880813598633;8.957721710205078;0.9190459847450256;3.0885064601898193;13.976049423217773;1.5950950384140015;0;0;0;25.352844520191073;5.035160823667013;1.730964721739688;6074.284635723807;57.92909743812468;41.7816818736435;262.265625
