num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;Median_aof;Variance;sequence;model;hour;last;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;time_delta;epochs_1;trans_size
5148307963028071245;46.52048353633513;209.5000497340896;1501.295822292591;9.586379337310792;3.6308422088623047;372.03439388814957;DS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.005;[75];[8];1;1;[0];0
1898394654478059989;10.82796417433568;245.49810847751604;1923.3972646042662;13.637847709655762;19.559091567993164;270.1136610420531;DS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.005;[75];[8];1;1;[0];0
6174208796193807935;3.2216640800302323;239.06156267237475;708.7501815151037;50.121377563476564;52.366865158081055;197.87990796455182;IM;RNN;0;2;0;0;2;0;0.7;25;0;0.005;[75];[8];1;1;[0];0
6350973944034402561;50.54972155304726;73.53615045730717;305.93239638430396;114.75902862548828;114.021484375;2.4862046957854185;IS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.005;[75];[8];1;1;[0];0
5303170498821382029;55.99954022153499;1156.3894358362056;1084.3904134413433;101.96687316894531;98.63698959350586;212.57829271141674;IM;RNN;0;2;0;0;10;0;0.7;25;0;0.005;[75];[8];1;1;[0];0
297266551487021772;12.191026598914846;94.20774015026709;247.14222711996416;113.7566017150879;111.9452018737793;14.552733901283355;IS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.005;[75];[8];1;1;[0];0
4702839446519272180;38.92370175272393;282.77252318506345;1951.5597276663957;1.5810825824737549;4.186913728713989;156.54024363061103;DS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.01;[75];[8];1;1;[0];0
7397099245562595223;48.784394045947764;128.59989457026523;264.5473856118397;114.7217903137207;114.42492294311523;6.536503522438579;IS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.01;[75];[8];1;1;[0];0
8787834337272474679;9.140042542120097;204.72537386958038;2102.089657640828;1.9453624725341796;-3.4854769706726074;281.1616924200297;DS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.01;[75];[8];1;1;[0];0
6291406077970430474;2.1529822201001703;287.2931615836801;791.8944103940735;43.25791969299316;43.613365173339844;295.8617280380166;IM;RNN;0;2;0;0;2;0;0.7;25;0;0.01;[75];[8];1;1;[0];0
