;IM;RNN;0;2;0;0;10;0;0.7;25;0;0.05;[100];[8];1;1;[0];0
Train_MAE;Train_MSE;Train_MAPE;Val_MAE;Val_MSE;Val_MAPE;Trans_MAE;Trans_MSE;Trans_MAPE;Test_MSE;Test_MAE;Test_MAPE;Pred_MSE;Pred_MAE;Pred_MAPE;AOF
17.32231903076172;8.420431137084961;499.1244201660156;17.747976303100586;8.506103515625;527.3099365234375;0;0;0;1501.4016560302248;38.74792453835721;12.759301424458394;2498.3855043614035;43.37817472879132;57.96462665994919;121.80995178222656
17.906044006347656;8.648656845092773;534.3728637695312;17.992137908935547;8.66440200805664;542.2704467773438;0;0;0;7.45385475688483;2.730174858298426;1.0420475120729003;1838.4645271601755;37.52826757179889;48.31911837758957;111.08743286132812
18.06298065185547;8.681654930114746;554.6961059570312;17.681968688964844;8.576345443725586;531.5560913085938;0;0;0;2349.1186560186784;48.46770735261447;22.28182065138824;2370.393680103423;42.59776027832489;56.123953802148925;120.33726501464844
17.5167293548584;8.478321075439453;514.8428344726562;18.477609634399414;8.997763633728027;561.2535400390625;0;0;0;363.48446948998014;19.06526867080504;6.826578074416322;1207.4915710800817;30.57857378783772;34.941532114953866;90.69424438476562
17.594118118286133;8.433755874633789;518.9660034179688;17.52781867980957;8.457685470581055;506.2152404785156;0;0;0;270.0655453961246;16.433671087012925;6.598201650467186;2204.052047304688;41.05216695795925;53.45624561951746;118.7238998413086
18.13211441040039;8.683568000793457;545.4307250976562;17.4515438079834;8.56883430480957;534.7130737304688;0;0;0;6479.426345327234;80.49488396989733;23.409981940859446;2163.771365982993;40.58812762793812;53.039868770308956;118.2337417602539
17.063140869140625;8.205260276794434;487.20599365234375;17.7779483795166;8.546981811523438;532.0590209960938;0;0;0;215.78986844510084;14.689787896532096;5.197423626557283;3033.769876431997;47.671786951637536;64.01766129916749;132.17588806152344
17.536161422729492;8.440407752990723;520.3063354492188;18.030912399291992;8.584712982177734;556.7373657226562;0;0;0;136.53540656599893;11.684836608442538;4.210469141024112;2579.0267719811213;43.846075697289315;58.75603886567946;124.32717895507812
17.698165893554688;8.579825401306152;530.2399291992188;17.757339477539062;8.39387035369873;523.863525390625;0;0;0;1552.9846120177883;39.40792575127227;17.691112668472456;2224.8291510029817;40.981962992212445;53.612669588645474;119.31181335449219
17.552791595458984;8.471043586730957;521.5009155273438;18.611913681030273;9.006856918334961;595.98095703125;0;0;0;144.59971996226383;12.024962368434416;4.893383911351991;2195.043616430584;40.7658425948736;53.27120262726607;116.05572509765625
