num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;Median_aof;Variance;sequence;hour;last;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;time_delta;epochs_1;trans_size
5252807442750585345;346.02876835806796;339.7082151078637;333.8156257112608;36.29177446365357;3.5627450942993164;5915.165081616693;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
4409099051805859179;306.77611789623836;300.7419558662252;295.108091471172;65.72755222320556;-2.796402931213379;15284.49008071915;IM;0;2;0;0;0;0;1;16;0.0;9.765625000000004e-33;[150];[32];0;1;[50];50
4214009180188884743;354.08997084574105;347.43975648061144;341.22745662626903;22.474737405776978;-9.516064643859863;6022.373656253787;IM;0;2;0;0;0;0;1;16;0.0;1.953125000000001e-33;[150];[32];0;1;[50];50
3026283273699498254;316.30250838609584;310.3785128578831;304.7795404601406;26.66076030731201;-3.524374008178711;6057.467309404934;IM;0;2;0;0;0;0;1;16;0.0;9.765625000000004e-34;[150];[32];0;1;[50];50
5606527461041310287;331.761192428809;325.46124247448995;319.5856608374357;59.56468000411987;15.262553215026855;9588.566161756102;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
520964197112933607;374.3556990439586;367.6252096496916;361.3426601532203;127.8774221420288;121.12516021728516;12955.3173635485;IM;0;2;0;0;0;0;1;16;0.0;9.536743164062507e-66;[150];[32];0;1;[50];100
6345943470785993659;370.13917935664966;363.4549317743945;357.21681313989404;-14.07970085144043;-14.226067543029785;120.28060324699679;IM;0;2;0;0;0;0;1;16;0.0;1.9073486328125013e-66;[150];[32];0;1;[50];100
6429703739225964110;414.0418818996861;406.80131361838124;400.0409696626996;71.43365774154663;-1.2065658569335938;13149.279102114344;IM;0;2;0;0;0;0;1;16;0.0;9.536743164062506e-67;[150];[32];0;1;[50];100
8699039412242850141;386.838740061392;379.8770197092761;373.37783182318856;19.09813299179077;-6.6757636070251465;4603.007937770558;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];100
1947104603749012783;485.24557479263467;477.35780295536244;469.98589963914884;20.383032608032227;-4.0434184074401855;5297.935103483388;IM;0;2;0;0;0;0;1;16;0.0;9.313225746154795e-99;[150];[32];0;1;[50];150
6091693700003790481;226.86178719590998;221.8847943744999;217.25059454673823;81.53398914337158;41.654611587524414;9163.421067915155;IM;0;2;0;0;0;0;1;16;0.0;1.8626451492309586e-99;[150];[32];0;1;[50];150
5876011854195677549;371.6239195791636;364.9236514398613;358.6713556054107;71.08678684234619;24.766654014587402;12620.44295924204;IM;0;2;0;0;0;0;1;16;0.0;9.313225746154793e-100;[150];[32];0;1;[50];150
8161410042687202215;438.6130503881418;431.2975509758491;424.4674814025631;-5.3236274242401125;-5.159292221069336;134.4471966851793;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];150
6655769368717339584;406.0166536435737;398.9414389626507;392.33711460303914;-2.9365514755249023;-8.702379703521729;273.40254675783;IM;0;2;0;0;0;0;1;16;0.0;9.094947017729295e-132;[150];[32];0;1;[100];50
7886029104154674199;423.01607893611634;415.6752977437348;408.8176329307738;12.78818483352661;-7.9555792808532715;4750.676395359746;IM;0;2;0;0;0;0;1;16;0.0;1.8189894035458586e-132;[150];[32];0;1;[100];50
3101342366570789812;364.3834732984238;357.6008948534566;351.26999208674704;-5.384034729003906;-9.4492769241333;95.28092243015166;IM;0;2;0;0;0;0;1;16;0.0;9.094947017729293e-133;[150];[32];0;1;[100];50
6647493994270267174;450.1873575552828;442.58857037504265;435.4905010117483;-2.203757572174072;-3.6081719398498535;209.20691175327156;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[100];50
5894437046484191925;473.1057917173865;465.3491174490872;458.1032372565751;-3.128309726715088;-1.8038301467895508;82.58617017417751;IM;0;2;0;0;0;0;1;16;0.0;8.881784197001266e-165;[150];[32];0;1;[100];100
502268219092941215;534.2484641816479;525.9476679295508;518.1892095095452;-10.951285457611084;-7.933722019195557;83.10800633799106;IM;0;2;0;0;0;0;1;16;0.0;1.776356839400253e-165;[150];[32];0;1;[100];100
4701142151259261090;403.7665486526964;397.41519764783123;391.49410205366485;-4.519023036956787;-5.730075359344482;49.84631349633501;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[100];100
8862722865382963616;455.845653015841;448.3335731155524;441.3162971078929;-8.415411186218261;-10.171236038208008;30.32841735118051;IM;0;2;0;0;0;0;1;16;0.0;8.881784197001264e-166;[150];[32];0;1;[100];100
4869195427036959846;620.8941113263966;611.9348914989966;603.5579947195025;-5.6307212829589846;-8.852840900421143;111.74808125255363;IM;0;2;0;0;0;0;1;16;0.0;8.67361737988405e-198;[150];[32];0;1;[100];150
8079624353209902001;620.8470605312075;611.8928033556624;603.5198901449609;-8.614836502075196;-8.531198978424072;29.876616611304748;IM;0;2;0;0;0;0;1;16;0.0;1.7347234759768097e-198;[150];[32];0;1;[100];150
8007282870208729877;517.3143256345172;509.1992841219955;501.60984974403766;-15.978540325164795;-11.155426025390625;265.82466831179653;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[100];150
7905689625066664016;582.8084122084967;574.1620710500899;566.0766327656206;-12.74584264755249;-12.937480926513672;35.63899211443387;IM;0;2;0;0;0;0;1;16;0.0;8.673617379884049e-199;[150];[32];0;1;[100];150
