Time Pressure Rate
0.01666665636 236.32023620605 600000.0 
0.0333333388 227.95219421387 600000.0 
0.04999998957 222.31607055664 600000.0 
0.06666667759 218.22822570801 600000.0 
0.08333332837 215.04489135742 600000.0 
0.1000000089 212.44464111328 600000.0 
0.1166666597 210.24778747559 600000.0 
0.1333333552 208.34605407715 600000.0 
0.150000006 206.67031860352 600000.0 
0.1666666567 205.17156982422 600000.0 
0.1833333373 203.81538391113 600000.0 
0.1999999881 202.57711791992 600000.0 
0.2166666687 201.43760681152 600000.0 
0.2333333194 200.38182067871 600000.0 
0.25 199.39788818359 600000.0 
0.2666666806 198.47734069824 600000.0 
0.2833333313 197.61215209961 600000.0 
0.3000000119 196.79489135742 600000.0 
0.3166666627 196.02157592773 600000.0 
0.3333333433 195.28689575195 600000.0 
0.349999994 194.58772277832 600000.0 
0.3666666746 193.92022705078 600000.0 
0.3833333254 193.28216552734 600000.0 
0.4000000358 192.67022705078 600000.0 
0.4166666269 192.08322143555 600000.0 
0.4333333373 191.51852416992 600000.0 
0.4500000179 190.97467041016 600000.0 
0.4666666389 190.45001220703 600000.0 
0.4833333492 189.9430847168 600000.0 
0.4999999702 189.45324707031 600000.0 
0.5166666508 188.97883605957 600000.0 
0.5333333611 188.51884460449 600000.0 
0.5500000119 188.07289123535 600000.0 
0.5666666627 187.6397857666 600000.0 
0.5833333731 187.21867370605 600000.0 
0.6000000238 186.80932617188 600000.0 
0.6166666746 186.4107208252 600000.0 
0.6333333254 186.02238464355 600000.0 
0.6499999762 185.64364624023 600000.0 
0.6666666865 185.27438354492 600000.0 
0.6833333373 184.91394042969 600000.0 
0.6999999881 184.56173706055 600000.0 
0.7166666985 184.21748352051 600000.0 
0.7333333492 183.88108825684 600000.0 
0.75 183.55191040039 600000.0 
0.7666666508 183.22969055176 600000.0 
0.7833333015 182.91403198242 600000.0 
0.7999999523 182.60466003418 600000.0 
0.8166666627 182.30160522461 600000.0 
0.8333332539 182.00450134277 600000.0 
0.8500000238 181.71296691895 600000.0 
0.8666666746 181.42681884766 600000.0 
0.8833333254 181.14582824707 600000.0 
0.9000000358 180.87007141113 600000.0 
0.9166666269 180.59916687012 600000.0 
0.9333333969 180.33296203613 600000.0 
0.9499999881 180.07121276855 600000.0 
0.9666666985 179.81378173828 600000.0 
0.9833333492 179.56062316895 600000.0 
1.0 179.31156921387 600000.0 
1.016666651 179.06642150879 600000.0 
1.033333302 178.82508850098 600000.0 
1.049999952 178.58743286133 600000.0 
1.066666722 178.35330200195 600000.0 
1.083333254 178.12265014648 600000.0 
1.100000024 177.89546203613 600000.0 
1.116666675 177.67144775391 600000.0 
1.133333325 177.45066833496 600000.0 
1.149999976 177.23287963867 600000.0 
1.166666746 177.01808166504 600000.0 
1.183333278 176.80619812012 600000.0 
1.200000048 176.59713745117 600000.0 
1.216666698 176.39094543457 600000.0 
1.233333349 176.18733215332 600000.0 
1.25 175.98637390137 600000.0 
1.266666651 175.78791809082 600000.0 
1.283333302 175.5919342041 600000.0 
1.299999952 175.39834594727 600000.0 
1.316666603 175.20709228516 600000.0 
1.333333373 175.01818847656 600000.0 
1.349999905 174.83151245117 600000.0 
1.366666675 174.64700317383 600000.0 
1.383333325 174.46466064453 600000.0 
1.399999976 174.28437805176 600000.0 
1.416666746 174.10609436035 600000.0 
1.433333397 173.9298248291 600000.0 
1.450000048 173.7554473877 600000.0 
1.466666698 173.58299255371 600000.0 
1.483333349 173.41250610352 600000.0 
1.5 173.24374389648 600000.0 
1.516666651 173.07670593262 600000.0 
1.533333421 172.91148376465 600000.0 
1.549999952 172.7479095459 600000.0 
1.566666603 172.58595275879 600000.0 
1.583333373 172.42561340332 600000.0 
1.600000143 172.26689147949 600000.0 
1.616666555 172.10971069336 600000.0 
1.633333325 171.95411682129 600000.0 
1.650000095 171.80004882813 600000.0 
1.666666508 171.64744567871 600000.0 
1.683333278 171.49626159668 600000.0 
1.700000048 171.34655761719 600000.0 
1.716666698 171.19818115234 600000.0 
1.733333349 171.05113220215 600000.0 
1.75 170.90542602539 600000.0 
1.766666651 170.7610168457 600000.0 
1.783333302 170.61787414551 600000.0 
1.800000072 170.47601318359 600000.0 
1.816666603 170.33547973633 600000.0 
1.833333254 170.19610595703 600000.0 
1.850000024 170.05786132813 600000.0 
1.866666794 169.92086791992 600000.0 
1.883333206 169.7850189209 600000.0 
1.899999976 169.6502532959 600000.0 
1.916666746 169.5166015625 600000.0 
1.933333397 169.3840637207 600000.0 
1.949999928 169.25256347656 600000.0 
1.966666698 169.12213134766 600000.0 
1.983333349 168.99276733398 600000.0 
2.0 168.86444091797 600000.0 
2.016666651 168.73713684082 600000.0 
2.033333302 168.61077880859 600000.0 
2.049999952 168.48541259766 600000.0 
2.066666603 168.36100769043 600000.0 
2.083333492 168.23754882813 600000.0 
2.099999905 168.11500549316 600000.0 
2.116666794 167.99336242676 600000.0 
2.133333445 167.87260437012 600000.0 
2.149999857 167.75273132324 600000.0 
2.166666508 167.63374328613 600000.0 
2.183333397 167.51560974121 600000.0 
2.200000048 167.39831542969 600000.0 
2.216666698 167.28192138672 600000.0 
2.233333349 167.16633605957 600000.0 
2.25 167.05152893066 600000.0 
2.266666651 166.93753051758 600000.0 
2.283333302 166.82429504395 600000.0 
2.299999952 166.71189880371 600000.0 
2.316666603 166.60023498535 600000.0 
2.333333492 166.48930358887 600000.0 
2.350000143 166.37910461426 600000.0 
2.366666555 166.26963806152 600000.0 
2.383333206 166.16090393066 600000.0 
2.400000095 166.05288696289 600000.0 
