Time Pressure Rate
0.01666665636 258.38153076172 400000.0 
0.0333333388 252.64181518555 400000.0 
0.04999998957 249.00042724609 400000.0 
0.06666667759 246.40377807617 400000.0 
0.08333332837 244.39901733398 400000.0 
0.1000000089 242.77033996582 400000.0 
0.1166666597 241.39958190918 400000.0 
0.1333333552 240.21676635742 400000.0 
0.150000006 239.17697143555 400000.0 
0.1666666567 238.24961853027 400000.0 
0.1833333373 237.41230773926 400000.0 
0.1999999881 236.64923095703 400000.0 
0.2166666687 235.94818115234 400000.0 
0.2333333194 235.29968261719 400000.0 
0.25 234.6964263916 400000.0 
0.2666666806 234.13275146484 400000.0 
0.2833333313 233.60345458984 400000.0 
0.3000000119 233.10464477539 400000.0 
0.3166666627 232.63316345215 400000.0 
0.3333333433 232.18579101563 400000.0 
0.349999994 231.76049804688 400000.0 
0.3666666746 231.35494995117 400000.0 
0.3833333254 230.96766662598 400000.0 
0.4000000358 230.59675598145 400000.0 
0.4166666269 230.24105834961 400000.0 
0.4333333373 229.89930725098 400000.0 
0.4500000179 229.5704498291 400000.0 
0.4666666389 229.25364685059 400000.0 
0.4833333492 228.94787597656 400000.0 
0.4999999702 228.65246582031 400000.0 
0.5166666508 228.36674499512 400000.0 
0.5333333611 228.09001159668 400000.0 
0.5500000119 227.82177734375 400000.0 
0.5666666627 227.56161499023 400000.0 
0.5833333731 227.3088684082 400000.0 
0.6000000238 227.06314086914 400000.0 
0.6166666746 226.82415771484 400000.0 
0.6333333254 226.59155273438 400000.0 
0.6499999762 226.3649597168 400000.0 
0.6666666865 226.14404296875 400000.0 
0.6833333373 225.92855834961 400000.0 
0.6999999881 225.71823120117 400000.0 
0.7166666985 225.5128326416 400000.0 
0.7333333492 225.3120880127 400000.0 
0.75 225.11582946777 400000.0 
0.7666666508 224.92388916016 400000.0 
0.7833333015 224.73603820801 400000.0 
0.7999999523 224.55206298828 400000.0 
0.8166666627 224.37187194824 400000.0 
0.8333332539 224.19528198242 400000.0 
0.8500000238 224.02220153809 400000.0 
0.8666666746 223.85241699219 400000.0 
0.8833333254 223.6858215332 400000.0 
0.9000000358 223.52230834961 400000.0 
0.9166666269 223.3617401123 400000.0 
0.9333333969 223.2041015625 400000.0 
0.9499999881 223.04925537109 400000.0 
0.9666666985 222.89700317383 400000.0 
0.9833333492 222.7473449707 400000.0 
1.0 222.60014343262 400000.0 
1.016666651 222.45536804199 400000.0 
1.033333302 222.31294250488 400000.0 
1.049999952 222.17279052734 400000.0 
1.066666722 222.03479003906 400000.0 
1.083333254 221.89886474609 400000.0 
1.100000024 221.76499938965 400000.0 
1.116666675 221.63311767578 400000.0 
1.133333325 221.50315856934 400000.0 
1.149999976 221.37512207031 400000.0 
1.166666746 221.24891662598 400000.0 
1.183333278 221.12445068359 400000.0 
1.200000048 221.00169372559 400000.0 
1.216666698 220.88061523438 400000.0 
1.233333349 220.76113891602 400000.0 
1.25 220.64324951172 400000.0 
1.266666651 220.52694702148 400000.0 
1.283333302 220.41212463379 400000.0 
1.299999952 220.29876708984 400000.0 
1.316666603 220.18681335449 400000.0 
1.333333373 220.07626342773 400000.0 
1.349999905 219.96705627441 400000.0 
1.366666675 219.85917663574 400000.0 
1.383333325 219.75257873535 400000.0 
1.399999976 219.64727783203 400000.0 
1.416666746 219.54319763184 400000.0 
1.433333397 219.44033813477 400000.0 
1.450000048 219.3385925293 400000.0 
1.466666698 219.23802185059 400000.0 
1.483333349 219.13856506348 400000.0 
1.5 219.0401763916 400000.0 
1.516666651 218.94288635254 400000.0 
1.533333421 218.84664916992 400000.0 
1.549999952 218.75144958496 400000.0 
1.566666603 218.65725708008 400000.0 
1.583333373 218.56405639648 400000.0 
1.600000143 218.47178649902 400000.0 
1.616666555 218.38046264648 400000.0 
1.633333325 218.29006958008 400000.0 
1.650000095 218.20056152344 400000.0 
1.666666508 218.11193847656 400000.0 
1.683333278 218.02415466309 400000.0 
1.700000048 217.93728637695 400000.0 
1.716666698 217.85124206543 400000.0 
1.733333349 217.76600646973 400000.0 
1.75 217.68159484863 400000.0 
1.766666651 217.59794616699 400000.0 
1.783333302 217.5150604248 400000.0 
1.800000072 217.43293762207 400000.0 
1.816666603 217.3515625 400000.0 
1.833333254 217.2709197998 400000.0 
1.850000024 217.19097900391 400000.0 
1.866666794 217.11177062988 400000.0 
1.883333206 217.03326416016 400000.0 
1.899999976 216.95542907715 400000.0 
1.916666746 216.87828063965 400000.0 
1.933333397 216.80177307129 400000.0 
1.949999928 216.72590637207 400000.0 
1.966666698 216.6506652832 400000.0 
1.983333349 216.57606506348 400000.0 
2.0 216.50205993652 400000.0 
2.016666651 216.42868041992 400000.0 
2.033333302 216.35586547852 400000.0 
2.049999952 216.28363037109 400000.0 
2.066666603 216.21199035645 400000.0 
2.083333492 216.14093017578 400000.0 
2.099999905 216.07040405273 400000.0 
2.116666794 216.00045776367 400000.0 
2.133333445 215.93104553223 400000.0 
2.149999857 215.86218261719 400000.0 
2.166666508 215.7938079834 400000.0 
2.183333397 215.72595214844 400000.0 
2.200000048 215.65859985352 400000.0 
2.216666698 215.59173583984 400000.0 
2.233333349 215.52537536621 400000.0 
2.25 215.45948791504 400000.0 
2.266666651 215.39407348633 400000.0 
2.283333302 215.32914733887 400000.0 
2.299999952 215.26467895508 400000.0 
2.316666603 215.20066833496 400000.0 
2.333333492 215.13711547852 400000.0 
2.350000143 215.07402038574 400000.0 
2.366666555 215.01138305664 400000.0 
2.383333206 214.94914245605 400000.0 
2.400000095 214.88734436035 400000.0 
