Time TimeDelta AltTimeDelta AltTime
0 0.0002496000088 0.0002496000088 0.0002496000088 0.0002496000088
1 0.00027600000610000005 2.639999729999999e-05 2.639999729999999e-05 0.00027600000610000005
2 0.0003024000034 2.639999729999999e-05 2.639999729999999e-05 0.0003024000034
3 0.0003336000082 3.1200004800000024e-05 3.1200004800000024e-05 0.0003336000082
4 0.0003672000021000001 3.3599993899999995e-05 3.3599993899999995e-05 0.00036720000210000006
5 0.0004032000143 3.600001219999997e-05 3.600001219999997e-05 0.00040320001430000003
6 0.0004440000048 4.07999905e-05 4.07999905e-05 0.00044400000480000003
7 0.0004871999845 4.3199979700000004e-05 4.3199979700000004e-05 0.0004871999845
8 0.000537600019 5.04000345e-05 5.04000345e-05 0.000537600019
9 0.0005904000136000001 5.279999459999998e-05 5.279999459999998e-05 0.0005904000136000001
10 0.0006504000048 5.999999120000003e-05 5.999999120000003e-05 0.0006504000048
11 0.0007151999743999999 6.479996960000005e-05 6.479996960000005e-05 0.0007151999743999999
12 0.0007848000387 6.960006429999996e-05 6.960006429999996e-05 0.0007848000387
13 0.0008640000597 7.9200021e-05 7.9200021e-05 0.0008640000597
14 0.0009504000191 8.639995940000001e-05 8.639995940000001e-05 0.0009504000191
15 0.001046400052 9.600003290000006e-05 9.600003290000006e-05 0.001046400052
16 0.001149600022 0.00010319997000000004 0.00010319997000000004 0.001149600022
17 0.001264800085 0.00011520006299999995 0.00011520006299999995 0.001264800085
18 0.001392000006 0.00012719992099999994 0.00012719992099999994 0.001392000006
19 0.001531200018 0.00013920001200000008 0.00013920001200000008 0.001531200018
20 0.001684800023 0.00015360000500000005 0.00015360000500000005 0.0016848000229999999
21 0.001852799905 0.000167999882 0.000167999882 0.001852799905
22 0.002037599916 0.0001848000109999999 0.0001848000109999999 0.002037599916
23 0.002241599839 0.00020399992300000006 0.00020399992300000006 0.002241599839
24 0.002464800142 0.0002232003029999999 0.0002232003029999999 0.002464800142
25 0.002712000161 0.00024720001899999986 0.00024720001899999986 0.0027120001610000002
26 0.002983199898 0.00027119973700000027 0.00027119973700000027 0.0029831998979999996
27 0.003280799836 0.00029759993800000016 0.00029759993800000016 0.0032807998359999997
28 0.003609600011 0.0003288001749999999 0.0003288001749999999 0.003609600011
29 0.003971999977 0.00036239996600000027 0.00036239996600000027 0.003971999977
30 0.004368000198 0.0003960002210000001 0.0003960002210000001 0.004368000198
31 0.004804799799 0.00043679960099999963 0.00043679960099999963 0.004804799799
32 0.005284800194 0.0004800003950000001 0.0004800003950000001 0.005284800194
33 0.005812800024 0.0005279998299999996 0.0005279998299999996 0.005812800024
34 0.0063959998080000005 0.0005831997839999999 0.0005831997839999999 0.0063959998080000005
35 0.007034399547 0.0006383997390000005 0.0006383997390000005 0.007034399547
36 0.007737600245 0.000703200698 0.000703200698 0.007737600245
37 0.008512799627999999 0.0007751993830000005 0.0007751993830000005 0.008512799627999999
38 0.009362399578 0.0008495999499999999 0.0008495999499999999 0.009362399577999999
39 0.01029840019 0.0009360006119999986 0.0009360006119999986 0.010298400190000001
40 0.01133039966 0.0010319994700000012 0.0010319994700000012 0.01133039966
41 0.012463199909999998 0.0011328002499999994 0.0011328002499999994 0.012463199909999998
42 0.013708800080000002 0.0012456001699999995 0.0012456001699999995 0.013708800080000002
43 0.015079200269999997 0.001370400190000001 0.001370400190000001 0.015079200269999997
44 0.016586400569999996 0.001507200299999999 0.001507200299999999 0.016586400569999996
45 0.018247200180000003 0.0016607996099999994 0.0016607996099999994 0.018247200180000003
46 0.020071201030000003 0.00182400085 0.00182400085 0.020071201030000003
47 0.0220776014 0.0020064003700000013 0.0020064003700000013 0.0220776014
48 0.02428559959 0.002207998190000001 0.002207998190000001 0.02428559959
49 0.02671439946 0.002428799869999998 0.002428799869999998 0.02671439946
50 0.02938560024 0.002671200780000001 0.002671200780000001 0.029385600239999997
51 0.03232559934 0.002939999099999997 0.002939999099999997 0.03232559934
52 0.03555599973 0.003230400390000006 0.003230400390000006 0.03555599973
53 0.03911279887 0.003556799139999997 0.003556799139999997 0.03911279887
54 0.04302480072 0.003912001849999999 0.003912001849999999 0.04302480072
55 0.04732559994 0.0043007992199999975 0.0043007992199999975 0.04732559994
56 0.05205840245 0.0047328025100000035 0.0047328025100000035 0.05205840245
57 0.05726400017999999 0.005205597730000004 0.005205597730000004 0.05726400017999999
58 0.06299039721 0.00572639702999999 0.00572639702999999 0.06299039721
59 0.06929039955 0.006300002340000013 0.006300002340000013 0.06929039955
60 0.07621920109000001 0.006928801539999988 0.006928801539999988 0.07621920109000001
61 0.08384159952 0.007622398430000009 0.007622398430000009 0.08384159952
62 0.0922247991 0.00838319958 0.00838319958 0.0922247991
63 0.1014479995 0.009223200399999992 0.009223200399999992 0.1014479995
64 0.1115927994 0.0101447999 0.0101447999 0.1115927994
65 0.1227528006 0.011160001200000005 0.011160001200000005 0.1227528006
66 0.1350263953 0.012273594699999987 0.012273594699999987 0.1350263953
67 0.1485287994 0.013502404100000004 0.013502404100000004 0.1485287994
68 0.163382411 0.014853611600000009 0.014853611600000009 0.163382411
69 0.1797216088 0.016339197799999983 0.016339197799999983 0.1797216088
70 0.1976927966 0.01797118780000001 0.01797118780000001 0.1976927966
71 0.217461586 0.019768789400000014 0.019768789400000014 0.217461586
72 0.2392080128 0.021746426800000003 0.021746426800000003 0.2392080128
73 0.2631287873 0.02392077449999999 0.02392077449999999 0.2631287873
74 0.28944242 0.02631363269999997 0.02631363269999997 0.28944242
75 0.3183863759 0.028943955900000037 0.028943955900000037 0.3183863759
76 0.350224793 0.03183841709999996 0.03183841709999996 0.350224793
77 0.3852480054 0.0350232124 0.0350232124 0.3852480054
78 0.4237728119 0.038524806500000015 0.038524806500000015 0.4237728119
79 0.4661495984 0.042376786499999985 0.042376786499999985 0.46614959840000003
80 0.5127648115 0.0466152131 0.0466152131 0.5127648115
81 0.5640407801 0.051275968600000055 0.051275968600000055 0.5640407801
82 0.6204456091 0.05640482899999999 0.05640482899999999 0.6204456091
83 0.6824904084000001 0.06204479929999995 0.06204479929999995 0.6824904084000001
84 0.7507392168000001 0.06824880840000003 0.06824880840000003 0.7507392168000001
85 0.8258136511 0.07507443430000005 0.07507443430000005 0.8258136511
86 0.9083951712 0.08258152009999997 0.08258152009999997 0.9083951712
87 0.9992352724 0.09084010119999997 0.09084010119999997 0.9992352724
88 1.099159241 0.09992396859999997 0.09992396859999997 1.099159241
89 1.209074378 0.109915137 0.109915137 1.209074378
