num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;Median_aof;Variance;sequence;model;hour;last;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;time_delta;epochs_1;trans_size
7824597957284728724;209.4939077361717;53.30556216257478;49.97031519016146;7.072913455963135;7.17423677444458;95.85498239630537;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[0];0
7999469292779975387;86.77175605029296;12.230870240866958;3.0851325956169697;22.352634620666503;27.190916061401367;303.24203804292864;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[0];0
853476959711507796;87.52256849613784;9.031819222744979;1.8511827161523837;18.410795211791992;24.08580780029297;119.24346098415553;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[0];0
4882470801441323248;133.55438235070778;21.319919980735225;5.01702182669705;-7.441407966613769;-12.381967544555664;107.87733833422115;IM;RNN;0;2;0;0;0;0;1;24;0.0;0.0;[150];[32];0;1;[0];0
4917405243591952349;77.46887427445274;5.74313326382156;1.4952708462038138;-10.970895957946777;-8.993134498596191;88.65170326604618;IM;RNN;0;2;0;0;0;0;1;24;0.0;0.0;[200];[32];0;1;[0];0
8020926853315486048;57.55395131346931;6.1754899864371975;1.608362149416981;-15.163415336608887;-13.950355529785156;50.577595425597835;IM;RNN;0;2;0;0;0;0;1;24;0.0;0.0;[250];[32];0;1;[0];0
4540452351977064846;110.726065830013;5.953999209442184;1.2587742511453899;-10.853435134887695;-11.527284622192383;73.00305386413987;IM;RNN;0;2;0;0;0;0;1;32;0.0;0.0;[150];[32];0;1;[0];0
6019691246779642103;78.66446907444211;2.435923646873386;0.7799627285470607;30.745241355895995;8.445107460021973;3844.8293458049616;IM;RNN;0;2;0;0;0;0;1;32;0.0;0.0;[200];[32];0;1;[0];0
5694536694608872921;60.689659516369225;4.7330353033018575;1.3288433176398622;-4.615038299560547;-16.631967544555664;378.33791688888795;IM;RNN;0;2;0;0;0;0;1;32;0.0;0.0;[250];[32];0;1;[0];0
4987124087164165913;169.12173709021945;18.007203523628355;3.395370820995887;15.791006088256836;22.430755615234375;270.7514724012086;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.001;[150];[32];0;1;[0];0
1411917362687775216;78.9559406784677;9.127815839120007;2.0871424658281823;23.336172103881836;21.28972053527832;1718.7121624706954;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.001;[200];[32];0;1;[0];0
6028220043610539904;41.40944096378773;2.241849602255599;0.7473853393048181;-22.627746391296387;-24.851829528808594;619.4630855845063;IM;RNN;0;2;0;0;0;0;1;16;0.0;0.001;[250];[32];0;1;[0];0
2462880025213541961;94.88641164138099;10.370709650237846;2.270938524424766;-12.590330886840821;-21.596778869628906;565.8325958104709;IM;RNN;0;2;0;0;0;0;1;24;0.0;0.001;[150];[32];0;1;[0];0
8070583077223783116;26.923903483436426;1.6770423904923106;0.613651993462727;-14.092889976501464;-15.976780891418457;192.4695175070208;IM;RNN;0;2;0;0;0;0;1;24;0.0;0.001;[200];[32];0;1;[0];0
6396100741570736229;43.40379952667898;2.236332159472521;0.7900820762999273;-11.855948066711425;-16.564085006713867;255.3551648506202;IM;RNN;0;2;0;0;0;0;1;24;0.0;0.001;[250];[32];0;1;[0];0
428647715518454328;118.08569799093009;9.55942233796903;1.983056202827268;-10.485111427307128;-10.040569305419922;51.20895855666036;IM;RNN;0;2;0;0;0;0;1;32;0.0;0.001;[150];[32];0;1;[0];0
1302668867812331131;131.63529926659726;77.87673777976437;76.2695316882436;-98.71456451416016;-81.44667053222656;10059.189160248254;IM;FF;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;-1;[0];0
7627704880178794568;63.85319380249331;3.1263268286209036;1.3119424647884756;-72.33392486572265;-108.61925506591797;33487.55375335614;IM;FF;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;-1;[0];0
1029057605531289714;30.95789869977269;2.0903738117849358;0.45292038571736104;-173.53064575195313;-246.0325927734375;15631.155534580499;IM;FF;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;-1;[0];0
566561709614120193;61.003868595577515;3.49438597831723;1.2551457511782462;-237.43140563964843;-272.2797546386719;4574.294784792104;IM;FF;0;2;0;0;0;0;1;24;0.0;0.0;[150];[32];0;-1;[0];0
2024520104864148211;97.35258863089966;9.810868996464274;1.8220611833116176;-178.37448501586914;-251.69908142089844;14472.807118972054;IM;FF;0;2;0;0;0;0;1;24;0.0;0.0;[200];[32];0;-1;[0];0
3598233717076079866;72.32130397952575;7.572883306350614;1.6062489224747918;5.015664672851562;162.97254943847656;42132.998405007136;IM;FF;0;2;0;0;0;0;1;24;0.0;0.0;[250];[32];0;-1;[0];0
3737662949963846483;44.01073824166737;1.3976453156318445;0.8085682332942415;-202.3977783203125;-264.84521484375;7777.871015718547;IM;FF;0;2;0;0;0;0;1;32;0.0;0.0;[150];[32];0;-1;[0];0
4855593971602718099;74.99403165926996;2.7989052297228256;0.815085962047905;-272.8748413085938;-282.8145751953125;426.57776496015487;IM;FF;0;2;0;0;0;0;1;32;0.0;0.0;[200];[32];0;-1;[0];0
448173322618662030;93.81432506251709;11.696505637911887;2.408792918673459;-209.5147216796875;-279.80731201171875;20959.257057841343;IM;FF;0;2;0;0;0;0;1;32;0.0;0.0;[250];[32];0;-1;[0];0
6655774771111897829;98.47148449371;1.9622024529236035;0.8331983685383413;31.333798217773438;159.99600219726562;34329.24098121528;IM;FF;0;2;0;0;0;0;1;16;0.0;0.001;[150];[32];0;-1;[0];0
4024945697953187457;60.842217882068496;2.5801258014852664;1.4060748385402353;-56.70643310546875;-138.10952758789062;24270.132569487527;IM;FF;0;2;0;0;0;0;1;16;0.0;0.001;[200];[32];0;-1;[0];0
5740013593975098678;19.09458653953471;0.20668334647753203;0.45349224624656975;-98.98614654541015;-142.09959411621094;12322.159242530362;IM;FF;0;2;0;0;0;0;1;16;0.0;0.001;[250];[32];0;-1;[0];0
5974880200650585958;56.95084382950414;3.5950247565068687;1.7245271126727484;-264.0171264648437;-269.49713134765625;80.65655541621149;IM;FF;0;2;0;0;0;0;1;24;0.0;0.001;[150];[32];0;-1;[0];0
8354386316727793937;13.935810738455984;0.3149276099691466;0.7667034578051485;-228.74539794921876;-230.1336669921875;2061.9115022217484;IM;FF;0;2;0;0;0;0;1;24;0.0;0.001;[200];[32];0;-1;[0];0
3186202059124405833;17.394681385275813;1.894595933859651;0.7427584615394986;-243.65375061035155;-268.2610168457031;1109.8679160856084;IM;FF;0;2;0;0;0;0;1;24;0.0;0.001;[250];[32];0;-1;[0];0
4114680003703011495;75.87697774938451;8.44831189416853;2.00137292317684;-271.5989013671875;-272.26043701171875;14.85209079772234;IM;FF;0;2;0;0;0;0;1;32;0.0;0.001;[150];[32];0;-1;[0];0
3573425957306670043;47.56319540821632;1.5720692283208872;0.8054527547718735;-229.68196716308594;-240.07994079589844;2237.0615144379067;IM;FF;0;2;0;0;0;0;1;32;0.0;0.001;[200];[32];0;-1;[0];0
4738256435852840824;51.741436967793426;2.9254401548947526;0.8088347060209833;-269.72340698242186;-271.9822998046875;77.18647461369633;IM;FF;0;2;0;0;0;0;1;32;0.0;0.001;[250];[32];0;-1;[0];0
1195212203643925858;127.44439497723943;6.690298151139389;2.733237928271653;-79.13678588867188;-111.63304901123047;20346.00241471132;IM;FF;0;2;0;0;0;0;1;16;0.0;0.005;[150];[32];0;-1;[0];0
6092715902530367517;41.78195327515045;1.203266420637653;1.7167803714214351;-235.1800323486328;-240.9930877685547;485.55736001605163;IM;FF;0;2;0;0;0;0;1;16;0.0;0.005;[200];[32];0;-1;[0];0
49072283086523160;4.4021867129588115;1.1255292336599712;0.458191104539624;-81.91800003051758;-32.454345703125;5943.382176825754;IM;FF;0;2;0;0;0;0;1;16;0.0;0.005;[250];[32];0;-1;[0];0
